,Player Name,Over Line,Over Odds,Under Line,Under Odds
0,AJ Brown,Over 1050.5,−110,Under 1050.5,−110
1,Alec Pierce,Over 575.5,−110,Under 575.5,−110
2,Brandon Aiyuk,Over 775.5,−120,Under 775.5,+100
3,Marquez Valdes-Scantling,Over 625.5,−130,Under 625.5,+105
4,Adam Thielen,Over 550.5,+100,Under 550.5,−120
5,Allen Lazard,Over 650.5,−110,Under 650.5,−110
6,Amari Cooper,Over 950.5,−105,Under 950.5,−115
7,Amon-Ra St Brown,Over 1050.5,−115,Under 1050.5,−105
8,Brandin Cooks,Over 775.5,−110,Under 775.5,−110
9,CeeDee Lamb,Over 1100.5,−110,Under 1100.5,−110
10,Calvin Ridley,Over 900.5,−110,Under 900.5,−110
11,Chris Godwin,Over 800.5,−130,Under 800.5,+110
12,Chris Olave,Over 1050.5,−105,Under 1050.5,−115
13,Christian Kirk,Over 825.5,−105,Under 825.5,−115
14,Christian Watson,Over 825.5,−105,Under 825.5,−115
15,Cooper Kupp,Over 1250.5,−110,Under 1250.5,−110
16,Courtland Sutton,Over 700.5,−115,Under 700.5,−105
17,Dallas Goedert,Over 675.5,−130,Under 675.5,+110
18,Dalton Schultz,Over 550.5,−105,Under 550.5,−115
19,Darren Waller,Over 700.5,−115,Under 700.5,−105
20,David Njoku,Over 550.5,−105,Under 550.5,−115
21,Dawson Knox,Over 425.5,+100,Under 425.5,−120
22,DeVonta Smith,Over 975.5,−110,Under 975.5,−110
23,Deebo Samuel,Over 725.5,−140,Under 725.5,+120
24,DK Metcalf,Over 900.5,−110,Under 900.5,−110
25,D.J. Moore,Over 800.5,−125,Under 800.5,+105
26,Diontae Johnson,Over 825.5,−105,Under 825.5,−115
27,DJ Chark,Over 675.5,−110,Under 675.5,−110
28,Donovan Peoples-Jones,Over 550.5,−115,Under 550.5,−105
29,Drake London,Over 825.5,+100,Under 825.5,−120
30,Elijah Moore,Over 575.5,−110,Under 575.5,−110
31,Evan Engram,Over 640.5,−105,Under 640.5,−115
32,Gabe Davis,Over 775.5,−105,Under 775.5,−115
33,Garrett Wilson,Over 1150.5,−115,Under 1150.5,−105
34,George Kittle,Over 725.5,+100,Under 725.5,−120
35,George Pickens,Over 750.5,−115,Under 750.5,−105
36,Isaiah Hodgins,Over 500.5,−115,Under 500.5,−105
37,Ja'Marr Chase,Over 1275.5,−105,Under 1275.5,−115
38,Jahan Dotson,Over 700.5,−110,Under 700.5,−110
39,Jaxon Smith-Njigba,Over 725.5,−110,Under 725.5,−110
40,Jaylen Waddle,Over 1075.5,+100,Under 1075.5,−120
41,JuJu Smith-Schuster,Over 700.5,−105,Under 700.5,−115
42,Jerry Jeudy,Over 925.5,−130,Under 925.5,+110
43,Justin Jefferson,Over 1400.5,−110,Under 1400.5,−110
44,Keenan Allen,Over 875.5,−110,Under 875.5,−110
45,Kyle Pitts,Over 700.5,−120,Under 700.5,+100
46,Mark Andrews,Over 825.5,+100,Under 825.5,−130
47,Marquise Brown,Over 800.5,−110,Under 800.5,−110
48,Michael Gallup,Over 600.5,−110,Under 600.5,−110
49,Michael Pittman Jr.,Over 800.5,+100,Under 800.5,−120
50,Mike Evans,Over 925.5,+115,Under 925.5,−140
51,Mike Williams,Over 800.5,−115,Under 800.5,−105
52,Nico Collins,Over 585.5,−125,Under 585.5,+105
53,Odell Beckham Jr.,Over 575.5,−110,Under 575.5,−110
54,Pat Freiermuth,Over 650.5,+105,Under 650.5,−125
55,Quentin Johnston,Over 575.5,−110,Under 575.5,−110
56,Romeo Doubs,Over 550.5,−110,Under 550.5,−110
57,Robert Woods,Over 540.5,−105,Under 540.5,−115
58,Stefon Diggs,Over 1125.5,−115,Under 1125.5,−105
59,Tee Higgins,Over 1000.5,−110,Under 1000.5,−110
60,Terry McLaurin,Over 900.5,−130,Under 900.5,+110
61,Travis Kelce,Over 1150.5,+115,Under 1150.5,−140
62,Tyler Boyd,Over 675.5,−110,Under 675.5,−110
63,Tyler Higbee,Over 500.5,−110,Under 500.5,−110
64,Tyler Lockett,Over 875.5,+100,Under 875.5,−120
65,Tyreek Hill,Over 1300.5,+105,Under 1300.5,−125
